REGION,PROVINCIA,DISTRITO,CODIGO,NOMBRE,CATEGORIA,TIPO,SUBTIPO,URL,LATITUD,LONGITUD
Cusco,Cusco,CUSCO,11,Festividad Del Señor De Los Temblores,5. ACONTECIMIENTOS PROGRAMADOS,Fiestas,Fiestas religiosas-patronales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11,-71.9801,-13.5153
Cusco,Canas,LANGUI,12,Laguna De Langui-Layo,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12,-71.16602045996092,-14.499080282861806
Cajamarca,Contumaza,YONAN,16,Petrogligos De Yonan,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Petroglifos (Grabados en piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=16,-79.130786,-7.2531078579146415
Amazonas,Chachapoyas,LEVANTO,17,Sitio Arqueológico De Collacruz,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=17,-77.89887399999998,-6.308009
Amazonas,Chachapoyas,MAGDALENA,18,Caverna De Shihual,1. SITIOS NATURALES,Cavidades naturales,Grutas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=18,-77.8818,-6.372
Huanuco,Huanuco,HUANUCO,20,Pinturas Rupestres De Quillarumi,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Pintura Rupestre,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=20,-76.2905993703614,-9.937153171539153
Huanuco,Ambo,AMBO,21,Laguna Rumichaca,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=21,-76.12607002258301,-10.096642091769294
Huanuco,Lauricocha,SAN MIGUEL DE CAURI,22,Laguna De Lauricocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=22,-76.66389048099518,-10.315821774759021
Huanuco,Lauricocha,SAN MIGUEL DE CAURI,23,Cueva De Lauricocha,1. SITIOS NATURALES,Cavidades naturales,Grutas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=23,-76.64987325668335,-10.313969294654017
Huanuco,Lauricocha,QUEROPALCA,24,Nevado De Yerupajá,1. SITIOS NATURALES,a. Montañas,Nevado,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=24,-76.9052410125733,-10.268640834546621
Huanuco,Lauricocha,QUEROPALCA,25,Cordillera Huayhuash - Huanuco,1. SITIOS NATURALES,n. Áreas Protegidas,Zonas Reservadas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=25,-76.90607786178594,-10.275903959997002
Huanuco,Yarowilca,CHAVINILLO,26,Lacshahuarina(Corona Del Inca),1. SITIOS NATURALES,a. Montañas,Cerros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=26,-76.55073400000003,-9.860732
Apurimac,Aymaraes,CARAYBAMBA,29,Andenerías De Caraybamba,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Puentes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=29,-73.16687717196658,-14.367851237036547
Apurimac,Cotabambas,CHALLHUAHUACHO,30,Complejo Arqueologico De Markapuchungo,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=30,-72.24641025066376,-14.118602157492754
Apurimac,Abancay,ABANCAY,31,Puente Colonial Pachachaca,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Puentes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=31,-72.93738612268447,-13.663068141447953
Apurimac,Abancay,CURAHUASI,32,Templo Santa Catalina De Curahuasi,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=32,-72.6959277777778,-13.542775
Apurimac,Aymaraes,CHALHUANCA,33,Templo De Chuquinga,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=33,-73.25610277777776,-14.292108333333333
Apurimac,Chincheros,COCHARCAS,34,Templo Colonial De Cocharcas,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=34,-73.73803403439331,-13.611938030618077
Apurimac,Aymaraes,CHALHUANCA,36,Baños Termales De Pincahuacho,1. SITIOS NATURALES,Agua termo-mineral,Aguas Termales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=36,-73.276745,-14.283773
